direction,latitude,longitude,error
"25 School St, Boston, MA 02108-4305",42.3576641,-71.0590082,False
"50 Dalton St Ste 4, Boston, MA 02115-3129",,,True
"230 Hanover Street, Boston, MA 02113-2303",42.3632331,-71.0552539,False
"10 Boston Wharf Rd, Boston, MA 02210-1838",42.35057085,-71.04619198972148,False
"416 Centre St, Boston, MA 02130-1876",42.320799,-71.11054,False
"108 Cambridge St Charlestown, Boston, MA 02129-1227",42.3821725,-71.0793661,False
"597 Centre St, Boston, MA 02130-2025",42.31492218181818,-71.11421718181818,False
"409 Chelsea St, Boston, MA 02128-1482",42.38027204061632,-71.02685661770376,False
"283 Causeway St, Boston, MA 02114-2105",42.366975,-71.058327,False
"Quincy Market, Boston, MA 02109",42.36020755,-71.05491278796717,False
"207 Endicott St, Boston, MA 02113-1506",42.366458186335365,-71.05785914906829,False
"838 Beacon St, Boston, MA 02215-3127",42.347314,-71.1031467,False
"425 Summer St The Westin Boston Waterfront, Boston, MA 02210-1719",,,True
"107 Seaport Blvd, Boston, MA 02210",42.3520678,-71.0459768,False
"101 Harborside Dr, Boston, MA 02128-2918",42.35920815,-71.02721242674713,False
"1750 Washington St, Boston, MA 02118-1831",42.3365942,-71.07669580000001,False
"57 Berkeley St, Boston, MA 02116-6202",42.34646888888889,-71.07060411111111,False
"132 Newbury St, Boston, MA 02116-2904",42.3509847,-71.076712,False
"190 Newbury St, Boston, MA 02116-2811",42.350176,-71.079582,False
"51A Massachusetts Ave, Boston, MA 02115-1405",42.34982142857143,-71.08911828571429,False
"3 Mechanic St off Hanover street, Boston, MA 02113-2336",,,True
"30 Rowes Wharf, Boston, MA 02110-3345",42.3571387,-71.0507043,False
"52 Temple Pl, Boston, MA 02111-1363",42.355227150000005,-71.06147484216135,False
"782 Tremont St, Boston, MA 02118-1050",42.3390224,-71.0804718,False
"64 Seaport Blvd, Boston, MA 02210-2042",42.3520678,-71.0459768,False
"Beacon Hill 25 Charles St. Beacon St., Boston, MA 02114",,,True
"10 Tyler St between Beach St & Kneeland, Boston, MA 02111-1904",,,True
"1 Park Lane, Boston, MA 02210",42.34811035,-71.0380731013951,False
"29 Prince St and Hanover Street, Boston, MA 02113-1821",,,True
"2 Prince St, Boston, MA 02113-2409",42.3640241,-71.0536297649391,False
"143 Richmond St, Boston, MA 02109-1414",42.363369,-71.054242,False
"3710 Washington St, Boston, MA 02130-3701",42.3002732,-71.113132,False
"700 Harrison Ave Unit 109, Boston, MA 02118-2631",,,True
"425 Summer St The Westin Boston Waterfront, Boston, MA 02210-1719",,,True
"63 Stuart St, Boston, MA 02116-4723",42.35097458333333,-71.064747,False
"555 Talbot Ave, Boston, MA 02124-3717",42.2860989,-71.0646266,False
"450 Commercial St, Boston, MA 02109-1021",42.36737333333333,-71.05321122222222,False
"850 Massachusetts Ave, Boston, MA 02118-2604",42.332084249999994,-71.07104023007614,False
"25 Fan Pier Blvd At 22 Liberty, Boston, MA 02210",,,True
"9 Lansdowne St, Boston, MA 02215-3412",42.3473454,-71.0951514,False
"288 Hanover St, Boston, MA 02113-1804",42.36394,-71.054473,False
"19 Union St, Boston, MA 02108-2406",42.360524665390415,-71.05689742005757,False
"1 Seaport Ln, Boston, MA 02210-2013",42.3491401,-71.04151990280039,False
"326 Commercial St, Boston, MA 02109-1124",42.36533323076923,-71.0512136923077,False
"35 Temple Pl, Boston, MA 02111-1305",42.3551144,-71.0620624,False
"800 Boylston Street Unit 107, Boston, MA 02199",,,True
"223 Hanover Street/ 3 Mechanic Street, Boston, MA 02113-2310",,,True
"22 Clinton St # 24, Boston, MA 02109",,,True
"228 Cambridge St, Boston, MA 02114-2710",42.3610059,-71.0666758,False
"352B Harrison Ave, Boston, MA 02118-2237",42.34490266666666,-71.06372733333333,False
"30 Gloucester St, Boston, MA 02115",42.3494382,-71.0845647,False
"25 West St, Boston, MA 02111-1213",42.3548936,-71.0625949,False
"72 Broad St, Boston, MA 02110-3503",42.3571657,-71.051922,False
"730 Centre St, Boston, MA 02130-2518",42.3108866,-71.1144258,False
"225 Newbury St, Boston, MA 02116-2522",42.3500136,-71.0816701,False
"289 Causeway Street North End, Boston, MA 02114",42.367029375,-71.05824825,False
"279 Newbury St, Boston, MA 02116-2425",42.3494102,-71.0838845,False
"84 Bennington St, Boston, MA 02128-1710",42.3761913,-71.0357131,False
"332 Washington St, Boston, MA 02135-3319",42.3488821,-71.15233004550491,False
"145 Charles St, Boston, MA 02114-3276",42.3603697,-71.0706347,False
"88 Beach St, Boston, MA 02111-2510",42.3513593,-71.0605206,False
"25 Union St, Boston, MA 02108-2406",42.360549959057614,-71.05690886243083,False
"900 Beacon St Audubon Circle, Boston, MA 02215-3019",42.346833450000005,-71.10575895706162,False
"77 Seaport Blvd, Boston, MA 02210-2041",42.3520678,-71.0459768,False
"604 Columbus Ave, Boston, MA 02118-1059",42.3398422,-71.0824905,False
"1508 Tremont St, Boston, MA 02120-2928",42.332264145104375,-71.0995833465598,False
"745 Boylston St, Boston, MA 02116-2636",42.3493887,-71.0808179,False
"50 Lovejoy Wharf, Boston, MA 02114-2046",42.3670976,-71.059903,False
"3 Appleton St, Boston, MA 02116-5238",42.346607332284556,-71.06962874517444,False
"106 Blackstone St, Boston, MA 02109-1506",42.36158415,-71.05644944000672,False
"1310 Boylston St, Boston, MA 02215-4302",42.3442902,-71.0979167,False
"200 Faneuil Hall Market Pl Inside Quincy Market Bldg., Boston, MA 02109-1634",,,True
"135 Richmond St, Boston, MA 02109-1414",42.363255,-71.0540986,False
"955 Boylston St, Boston, MA 02115-3106",42.3479607,-71.0858938,False
"161 Devonshire St, Boston, MA 02110",42.3561584,-71.0574634,False
"65 Exeter St The Lenox Hotel, Boston, MA 02116-3505",,,True
"735 Huntington Ave, Boston, MA 02115-6304",42.3411763,-71.0867996,False
"465 Huntington Ave Museum of Fine Arts, Boston, MA 02115-5523",,,True
"87 Glenville Ave, Boston, MA 02134-3455",42.34947823183396,-71.13495500141543,False
"260 Washington St, Boston, MA 02108-4603",42.3578242,-71.0578623,False
"175 North St, Boston, MA 02113-2411",42.36311,-71.053909,False
"242 Cambridge St, Boston, MA 02114-3122",42.360994,-71.0671559,False
"117 E Berkeley St South End, Boston, MA 02118-2207",42.3436416,-71.0652939,False
"292 Hanover St, Boston, MA 02113-1801",42.3641439,-71.0542476,False
"69 Bromfield St, Boston, MA 02108-4121",42.3571207,-71.0609359,False
"9A Tyler St Chinatown, Boston, MA 02111-1905",42.35118535,-71.06084211072802,False
"506 Park Dr, Boston, MA 02215-2901",42.3475693,-71.1058938,False
