name_restaurant,direction,amount_ratings,amount_ratings_excellent,amount_ratings_vgood,amount_ratings_average,amount_ratings_poor,amount_ratings_terrible,price_range,category_1,category_2,category_3
"Tresca, Boston","233 Hanover St, Boston, MA 02113-2310",(128),85,22,8,7,2,$$ - $$$,Italian,Vegetarian Friendly,Vegan Options
"Bacco Ristorante & Bar, Boston","107 Salem St, Boston, MA 02113-2227",(238),105,80,28,14,4,$$ - $$$,Italian,Vegetarian Friendly,
"Fire and Ice, Boston","205 Berkeley St Park Square Building, Boston, MA 02116-3716",(570),175,179,86,41,32,$$ - $$$,American,Vegetarian Friendly,Vegan Options
"Carrie Nation, Boston","11 Beacon St, Boston, MA 02108-3017",(207),92,73,26,6,6,$$ - $$$,American,Bar,Gluten Free Options
"Blackmoor Bar and Kitchen, Boston","1 Chelsea St, Boston, MA 02129",(191),77,59,22,7,8,$$ - $$$,American,Bar,Pub
"Wagamama, Boston","1 S Market St Quincy Market Building, Boston, MA 02109-6171",(559),167,181,76,34,24,$$ - $$$,Asian,Vegetarian Friendly,Vegan Options
"Bristol Restaurant and Bar, Boston","200 Boylston St Four Seasons Hotel Boston, Boston, MA 02116-3916",(324),157,73,44,21,10,$$$$,American,Vegetarian Friendly,Gluten Free Options
"Antonio's, Boston","288 Cambridge St, Boston, MA 02114-3123",(355),183,89,32,14,19,$$ - $$$,Italian,Vegetarian Friendly,
"Trade, Boston","540 Atlantic Ave, Boston, MA 02210-2210",(403),137,155,67,14,17,$$ - $$$,American,Vegetarian Friendly,Vegan Options
"Wagamama, Boston","800 Boylsto Street Store 117, Boston Prudential Center, Boston, MA 02199",(207),61,80,27,7,3,$$ - $$$,Asian,Vegetarian Friendly,Vegan Options
"Pastoral, Boston","345 Congress Street, Fort Point, Boston, MA 02210-1222",(221),91,66,36,7,4,$$ - $$$,Italian,Pizza,Vegetarian Friendly
"Bricco, Boston","241 Hanover St, Boston, MA 02113-2322","(1,002)",570,231,90,42,25,$$$$,Italian,Northern-Italian,Vegetarian Friendly
